01	排序	(排序,sort)
		09.04.06	舞蹈链表	(舞蹈链表,舞蹈链,dancing links,dancing link,dlx)
		09.04.06	邻接表	(邻接表)
	09.05	哈希表	(哈希表,散列表,hash,hash table)
	09.06	并查集	(并查集,union find sets,union-find sets,disjoint set,disjoint-set,disjoint sets)
	09.07	二叉树	(二叉树,binary tree)
		09.07.01	平衡二叉树	(平衡二叉树,avl树,avl,balanced binary tree)
		09.07.02	二叉搜索树	(二叉搜索树,二叉查找树,二叉排序树,binary search tree,binary sort tree)
		09.07.03	线索二叉树	(线索二叉树,thread binary tree)
	09.08	线段树	(线段树,区间树,segment tree)
		09.08.01	一维线段树	(一维线段树,线段树,segment tree)
		09.08.02	二维线段树	(二维线段树,矩形树,2d segment tree,two dimensional segment tree,two-dimensional segment tree)
	09.09	字典树	(字典树,字母树,trie树,trie,trie tree)
	09.10	后缀树	(后缀树,后缀树组,suffix tree,suffix array)
	09.11	树状数组	(树状数组,binary indexed tree)
		09.11.01	一维树状数组	(一维树状数组,树状数组,binary indexed tree)
		09.11.02	二维树状数组	(二维树状数组,2d bit,2d binary indexed tree,two dimensional binary indexed tree,two-dimensional binary indexed tree)
		09.11.03	三维树状数组	(三维树状数组,3d bit,3d binary indexed tree,three dimensional binary indexed tree,three-dimensional binary indexed tree)
	09.12	最近公共祖先	(最近公共祖先,least common ancestor,lca)
	09.13	区间最值查询	(区间最值查询,区间最值问题,range maximum query,range minimum query,rmq)

10	计算几何	(计算几何,几何,computational geometry,geometry)
	10.01	计算几何基本概念	(向量,点积,叉积,平行,垂直,vector,dot product,dot-product,cross product,cross-product,parallel,perpendicular)
	10.02	解析几何	(海伦公式,四面体公式,三角形外接圆,三角形内切圆,三角形外心,三角形内心,三角形垂心,梅涅劳斯定理,analytic geometry,menelaus)
	10.03	两线求交	(两线求交,两直线求交,两线段求交,直线求交,线段求交,两线相交,直线相交,线段相交,线段交,直线交,线段与直线相交,直线交点,线段交点,直线的交点,线段的交点,line intersection)
	10.04	点到线的距离	(点到线的距离,点到线距离,点到直线的距离,点到直线距离,点到线段的距离,点到线段距离,垂点,point to line)
	10.05	三点求圆	(三点求圆,三点定圆,过三点求圆,已知三点求圆,已知三点如何求圆,three points fix a circle)
	10.06	两圆求交	(两圆求交,两圆相交,两圆交点,两圆的交点,两个圆的交点,circle intersection)
	10.07	圆线求交	(圆与直线求交,圆与线段求交,圆与射线求交,圆与直线的交点,圆与线段的交点,圆与射线的交点,圆的切线,两圆公切线,两圆的公切线,circle line intersection)
	10.08	面积计算	(三角形面积,三角形的面积,四边形面积,四边形的面积,多边形面积,多边形的面积,圆面积,圆的面积,矩形面积交,矩形面积并,圆面积交,圆面积并,area computation)
	10.09	最近点对问题	(最近点对问题,平面最近点对,最近点对,the closest pair)
	10.10	最远点对问题	(最远点对问题,平面最远点对,最远点对,凸多边形直径,polygon diameter)
	10.11	二维凸包问题	(二维凸包,二维凸包问题,凸包,convex hull,convex-hull,two dimensional convex hull,graham扫描算法,javis卷包裹,graham,javis,wrapping)
	10.12	三维凸包问题	(三维凸包,三维凸包问题,随机增量算法,随机增量,shor算法,clarkson,quickhull,quick hull)
	10.13	多边形问题	(多边形周长,多边形中心,多边形重心,多边形的周长,多边形的中心,多边形的重心,凸多边形的交,多边形求交,凸多边形直径,多边形内的点数,pick定理,pick公式)
	10.14	极角排序	(极角排序,对极角进行排序,极角坐标系,polar angel)
	10.15	扫描线算法	(扫描线算法,扫描线,sweep line algorithm,sweepline,sweep line,sweep algorithm)
	10.16	三角剖分	(三角剖分,三角形剖分,delaunay triangulation,delaunay,triangulation)
	10.17	旋转卡壳	(旋转卡壳,旋转卡壳算法,rotating calipers algorithm,rotating calipers)
	10.18	模拟退火	(模拟退火,模拟退火法,simulated annealing,sa算法)
	10.19	半平面交	(半平面交,半平面,多边形切割,多边形的核,polygon cut,polygon-cut)
	10.20	voronoi图	(voronoi diagram,voronoi图,dirichlet图,voronoi,dirichlet,泰森多边形)
	10.21	三维几何题	(三维几何,三点定面,四点定球,球面距离,球面两点距离,两平面交线,两平面的交线,两异面线段距离,线段与三角形相交,线段与三角形的交点,3d geometry)
	10.22	离散化	(离散化)

11	组合数学	(组合数学,combinatorial mathematics,combinatorial math)
	11.01	鸽巢原理	(鸽巢原理,抽屉原理,pigeonhole principle,pigeon hole principle)
	11.02	排列组合	(排列组合,计数问题,permutation,combination,counting problem)
		11.02.01	加法原理	(加法原理,addition principle)
		11.02.02	乘法原理	(乘法原理,multiplication principle)
	11.03	二项式系数	(二项式系数,binomial coefficient,binomial factor,binomial)
	11.04	容斥原理	(容斥原理,inclusion-exclusion,inclusion-exclusion principle,inclusion exclusion principle)
		11.04.01	错位排列	(错位排列,错位排列问题,错排问题,错排,derangement)
	11.05	生成函数	(递推关系,生成函数,母函数,generating function)
	11.06	特殊计数	(特殊计数问题,特殊计数,special counting)
		11.06.01	fibonacci数	(fibonacci数,斐波那契数,斐波那契,fibonacci)
		11.06.02	catalan数	(catalan数,卡特兰数,catalan number,catalan)
		11.06.03	stirling数	(stirling数,斯特林数,斯特灵数,stirling number,stirling,第一类stirling数,第二类stirling数,第一类斯特林数,第二类斯特林数,差分序列)
		11.06.04	schroder数	(schroder数,schroder)
		11.06.05	分拆数		(分拆数,正整数的分拆,正整数分拆,partition number)
	11.07	polya计数	(polya计数,polya,波利亚计数,波利亚,置换群)
	11.08	burnside定理	(burnside定理,burnside,伯恩赛德定理,伯恩赛德)
	11.09	mobius反演	(mobius反演,mobius,莫比乌斯反演,莫比乌斯)

12	线性代数	(线性代数,linear algebra)
	12.01	矩阵		(矩阵,matrix)
		12.01.01	矩阵乘法	(矩阵乘法,矩阵幂乘,矩阵幂,矩阵求幂,矩阵的幂,matrix multiplication,matrix power)
		12.01.02	矩阵秩		(矩阵秩,矩阵的秩,rank of matrix)
		12.01.03	行列式		(行列式,determinant)
	12.02	线性方程组	(线性方程组,linear equations)
		12.02.01	克莱姆法则	(克莱姆法则,克拉默法则,克莱姆,克拉默,cramer's rule)
		12.02.02	高斯消元	(高斯消元,高斯消去,gaussian elimination,gauss elimination)

13	概率论	(概率论,probability theory)
	13.01	概率论基本概念	(简单概率,概率公理,经验概率,统计概率,条件概率,乘法定理)
	13.02	bayes定理	(bayes定理,贝叶斯定理,bayes)
	13.03	期望值		(期望值,期望,expected value)

14	博弈论	(博弈,博弈论,对策论,game theory)
	14.01	nim取子游戏		(nim取子游戏,nim游戏,nim取子,取石子游戏,取石子,nim games)
	14.02	sprague grundy	(sprague grundy,sprague-grundy,sg函数)
